store,sku,name,brand,category,quantity_value,quantity_unit,pack_size,price_eur,price_bgn
Kaufland,00057497,Тандем Колбас Телешки /Хамбургски /Камчия,Тандем,Месо и колбаси,,,,1.99,3.89
Kaufland,20891105,Перелик Старец от свежата витрина,Перелик,Други,,,,10.22,19.99
Kaufland,20276691,Стария ловец Ловджийски бабек,,Други,,,,2.55,4.99
Kaufland,20914803,"Свински врат без кост около 1,5 кг",,Месо и колбаси,1.5,kg,,4.08,7.98
Kaufland,00100057,Свинска плешка без кост до 5 кг на покупка,,Други,5.0,kg,,3.32,6.49
Kaufland,00113385,Ocean Pick Сельодка хапки различни видове,,Други,,,,1.12,2.19
Kaufland,20682975,Разбит хайвер от свежата витрина,,Други,,,,5.11,9.99
Kaufland,20901512,Копърка от свежата витрина,,Други,,,,6.64,12.99
Kaufland,00105244,Сьомгoва пъстърва филенца,,Месо и колбаси,,,,17.89,34.99
Kaufland,20336592,Суши Филаделфия от витрина на самообслужване,,Други,,,,3.57,6.98
Kaufland,00033660,Сьомга котлет,,Риба и морски дарове,,,,15.33,29.98
Kaufland,20757651,Рибно филе панирано,,Месо и колбаси,,,,5.11,9.99
Kaufland,00017967,Сьомгова пъстърва филе,,Месо и колбаси,,,,12.26,23.98
Kaufland,20903595,MEGGLE Крем за мазане от свежата витрина,Meggle,Козметика,,,,6.64,12.99
Kaufland,20685420,DEUTSCHE MARKENBUTTER Краве масло,Deutsche Markenbutter,Млечни продукти,,,,1.88,3.68
Kaufland,20914882,САЯНА Извара от свежата витрина,Саяна,Млечни продукти,,,,2.55,4.99
Kaufland,20908740,Jogobella Плодов йогурт различни вкусове,,Млечни продукти,,,,1.35,2.64
Kaufland,20277989,Kri Kri Протеинов йогурт различни видове,,Млечни продукти,,,,1.17,2.29
Kaufland,00400228,Верея Прясно мляко,Верея,Млечни продукти,,,,1.37,2.68
Kaufland,00054361,Danone Activia пълнозърнеста различни видове,Activia,Други,,,,1.02,1.99
Kaufland,00041098,Елена Кисело мляко,Елена,Млечни продукти,,,,0.71,1.39
Kaufland,00088435,K-Classic Скир натурален,K-Classic,Млечни продукти,,,,1.53,2.99
Kaufland,00401961,My Day Продукт за готвене Cremio,,Други,,,,2.04,3.99
Kaufland,20849764,EXQUISA Сирене Котидж,Exquisa,Млечни продукти,,,,1.53,2.99
Kaufland,20895055,GRANAROLO Бурата,,Други,,,,1.78,3.48
Kaufland,20616384,K-Classic Моцарела Maxi 45% масленост,K-Classic,Млечни продукти,,,,3.57,6.98
Kaufland,20601367,РАФТИС Кашкавал от краве мляко,Рафтис,Млечни продукти,,,,7.66,14.98
Kaufland,00501280,Prestige Камамбер или Бри,,Млечни продукти,,,,2.29,4.48
Kaufland,20613873,ПАСТИР Сирене от козе или овче мляко,,Млечни продукти,,,,4.85,9.49
Kaufland,00014765,Bergader Синьо сирене Gran Bavarese от свежата витрина,,Млечни продукти,,,,14.82,28.99
Kaufland,20895062,GOLDSTEIG Ементал Германия,,Други,,,,13.8,26.99
Kaufland,01002240,Paturages Comtois Сирене Бри от свежата витрина,,Млечни продукти,,,,13.8,26.99
Kaufland,00060276,Булгарче Сирене от краве мляко от свежата витрина,Булгарче,Млечни продукти,,,,5.62,10.99
Kaufland,00067598,Елена Сирене от овче мляко от свежата витрина,Елена,Млечни продукти,,,,9.2,17.99
Kaufland,00110405,ДИМИТЪР МАДЖАРОВ Сиренe от козе мляко от свежата витрина,Маджаров,Млечни продукти,,,,10.73,20.99
Kaufland,00056690,Мakler Моцарела от свежата витрина,,Млечни продукти,,,,10.73,20.99
